Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume
2021-08-11 14:00:00,2021-08-11 14:00:00,18735,115,0.00617615467239527,18615,18580,18735,2471
2021-08-11 13:30:00,2021-08-11 13:30:00,18620,35,0.00188323917137476,18580,18570,18670,2554
2021-08-11 13:00:00,2021-08-11 13:00:00,18585,20,0.00107729598707245,18570,18555,18605,1633
2021-08-11 12:30:00,2021-08-11 12:30:00,18565,-85,-0.00455764075067024,18655,18525,18655,2110
2021-08-11 12:00:00,2021-08-11 12:00:00,18650,200,0.010840108401084,18445,18445,18650,5589
2021-08-11 11:30:00,2021-08-11 11:30:00,18450,45,0.00244498777506112,18405,18365,18450,2001
2021-08-11 11:00:00,2021-08-11 11:00:00,18405,35,0.00190528034839412,18375,18330,18415,1212
2021-08-11 10:30:00,2021-08-11 10:30:00,18370,-75,-0.00406614258606668,18445,18320,18480,3035
2021-08-11 10:00:00,2021-08-11 10:00:00,18445,110,0.00599945459503681,18335,18245,18455,4407
2021-08-11 09:30:00,2021-08-11 09:30:00,18335,425,0.0237297599106644,17935,17935,18335,6152
2021-08-10 17:00:00,2021-08-10 17:00:00,17910,65,0.00364247688428131,17840,17800,17910,9642
2021-08-10 16:30:00,2021-08-10 16:30:00,17845,65,0.00365579302587177,17780,17770,17860,1866
2021-08-10 16:00:00,2021-08-10 16:00:00,17780,-5,-0.000281135788585887,17785,17760,17800,804
2021-08-10 15:30:00,2021-08-10 15:30:00,17785,25,0.00140765765765766,17760,17740,17810,1218
2021-08-10 15:00:00,2021-08-10 15:00:00,17760,-35,-0.00196684461927508,17800,17750,17800,568
2021-08-10 14:30:00,2021-08-10 14:30:00,17795,-15,-0.000842223469960696,17810,17755,17810,861
2021-08-10 14:00:00,2021-08-10 14:00:00,17810,-20,-0.00112170499158721,17835,17785,17855,1500
2021-08-10 13:30:00,2021-08-10 13:30:00,17830,5,0.000280504908835905,17820,17795,17830,600
2021-08-10 13:00:00,2021-08-10 13:00:00,17825,10,0.000561324726354196,17810,17800,17830,378
2021-08-10 12:30:00,2021-08-10 12:30:00,17815,25,0.0014052838673412,17785,17775,17820,312
2021-08-10 12:00:00,2021-08-10 12:00:00,17790,15,0.000843881856540084,17780,17750,17810,535
2021-08-10 11:30:00,2021-08-10 11:30:00,17775,-45,-0.00252525252525253,17815,17755,17820,347
2021-08-10 11:00:00,2021-08-10 11:00:00,17820,-10,-0.000560852495793606,17840,17800,17840,623
2021-08-10 10:30:00,2021-08-10 10:30:00,17830,20,0.00112296462661426,17810,17805,17890,1790
2021-08-10 10:00:00,2021-08-10 10:00:00,17810,20,0.00112422709387296,17785,17745,17815,1410
2021-08-10 09:30:00,2021-08-10 09:30:00,17790,180,0.010221465076661,17675,17670,17860,4023
2021-08-09 17:00:00,2021-08-09 17:00:00,17610,35,0.00199146514935989,17570,17550,17620,5764
2021-08-09 16:30:00,2021-08-09 16:30:00,17575,35,0.00199543899657925,17540,17530,17575,1656
2021-08-09 16:00:00,2021-08-09 16:00:00,17540,-5,-0.000284981476204047,17545,17490,17550,1604
2021-08-09 15:30:00,2021-08-09 15:30:00,17545,70,0.00400572246065808,17480,17480,17585,1316
2021-08-09 15:00:00,2021-08-09 15:00:00,17475,55,0.00315729047072331,17425,17420,17485,1135
